nohup: ignoring input
Training mode
Episode 1 | Step 124 | Step Reward: -0.0
Episode 1 | Step 125 | Step Reward: 0.0001220703125
Episode 1 | Step 126 | Step Reward: -0.0001220703125
Episode 1 | Step 127 | Step Reward: -0.0
Episode 1 | Step 128 | Step Reward: -0.0
Episode 1 | Step 129 | Step Reward: -0.0
Episode 1 | Step 130 | Step Reward: -0.0
Episode 1 | Step 131 | Step Reward: -0.0
Episode 1 | Step 132 | Step Reward: -0.0
Episode 1 | Step 133 | Step Reward: -0.0
Episode 1 | Step 134 | Step Reward: -0.0
Episode 1 | Step 135 | Step Reward: -0.0
Episode 1 | Step 136 | Step Reward: -0.0
Episode 1 | Step 137 | Step Reward: -0.0
Episode 1 | Step 138 | Step Reward: -0.0
Episode 1 | Step 139 | Step Reward: -0.0
Episode 1 | Step 140 | Step Reward: -0.0
Episode 1 | Step 141 | Step Reward: -0.0
Episode 1 | Step 142 | Step Reward: -0.0
Episode 1 | Step 143 | Step Reward: -0.0
Episode 1 | Step 144 | Step Reward: -0.0
Episode 1 | Step 145 | Step Reward: -0.0
Episode 1 | Step 146 | Step Reward: -0.0
Episode 1 | Step 147 | Step Reward: -0.0
Episode 1 | Step 148 | Step Reward: -0.0
Episode 1 | Step 149 | Step Reward: -0.0
Episode 1 | Step 150 | Step Reward: -0.0
Episode 1 | Step 151 | Step Reward: -0.0
Episode 1 | Step 152 | Step Reward: -0.0
Episode 1 | Step 153 | Step Reward: -0.0001220703125
Episode 1 | Step 154 | Step Reward: -0.0
Episode 1 | Step 155 | Step Reward: 0.0001220703125
Episode 1 | Step 156 | Step Reward: -0.0
Episode 1 | Step 157 | Step Reward: -0.0
Episode 1 | Step 158 | Step Reward: -0.0
Episode 1 | Step 159 | Step Reward: -0.0
Episode 1 | Step 160 | Step Reward: -0.0
Episode 1 | Step 161 | Step Reward: 0.0001220703125
Episode 1 | Step 162 | Step Reward: -0.0
Episode 1 | Step 163 | Step Reward: -0.0001220703125
Episode 1 | Step 164 | Step Reward: 0.0001220703125
Episode 1 | Step 165 | Step Reward: -0.0
Episode 1 | Step 166 | Step Reward: -0.0001220703125
Episode 1 | Step 167 | Step Reward: -0.0
Episode 1 | Step 168 | Step Reward: -0.0
Episode 1 | Step 169 | Step Reward: 0.0001220703125
Episode 1 | Step 170 | Step Reward: -0.0001220703125
Episode 1 | Step 171 | Step Reward: -0.0
Episode 1 | Step 172 | Step Reward: -0.0
Episode 1 | Step 173 | Step Reward: -0.0
Episode 1 | Step 174 | Step Reward: -0.0
Episode 1 | Step 175 | Step Reward: -0.0001220703125
Episode 1 | Step 176 | Step Reward: -0.0
Episode 1 | Step 177 | Step Reward: -0.0
Episode 1 | Step 178 | Step Reward: -0.0
Episode 1 | Step 179 | Step Reward: -0.0
Episode 1 | Step 180 | Step Reward: 0.000244140625
Episode 1 | Step 181 | Step Reward: -0.0006103515625
Episode 1 | Step 182 | Step Reward: -0.0013427734375
Episode 1 | Step 183 | Step Reward: -0.000244140625
Episode 1 | Step 184 | Step Reward: 0.0006103515625
Episode 1 | Step 185 | Step Reward: -0.0
Episode 1 | Step 186 | Step Reward: -0.0
Episode 1 | Step 187 | Step Reward: -0.0001220703125
Episode 1 | Step 188 | Step Reward: -0.0006103515625
Episode 1 | Step 189 | Step Reward: 0.000244140625
Episode 1 | Step 190 | Step Reward: -0.0
Episode 1 | Step 191 | Step Reward: 0.0001220703125
Episode 1 | Step 192 | Step Reward: -0.0
Episode 1 | Step 193 | Step Reward: -0.0
Episode 1 | Step 194 | Step Reward: -0.0003662109375
Episode 1 | Step 195 | Step Reward: -0.0
Episode 1 | Step 196 | Step Reward: -0.0
Episode 1 | Step 197 | Step Reward: -0.0
Episode 1 | Step 198 | Step Reward: -0.0
Episode 1 | Step 199 | Step Reward: -0.0
Episode 1 | Step 200 | Step Reward: -0.0
Episode 1 | Step 201 | Step Reward: -0.0
Episode 1 | Step 202 | Step Reward: -0.0
Episode 1 | Step 203 | Step Reward: -0.0
Episode 1 | Step 204 | Step Reward: -0.0
Episode 1 | Step 205 | Step Reward: -0.0
Episode 1 | Step 206 | Step Reward: -0.0
Episode 1 | Step 207 | Step Reward: -0.0
Episode 1 | Step 208 | Step Reward: -0.0
Episode 1 | Step 209 | Step Reward: -0.0
Episode 1 | Step 210 | Step Reward: -0.0
Episode 1 | Step 211 | Step Reward: -0.000244140625
Episode 1 | Step 212 | Step Reward: 0.0001220703125
Episode 1 | Step 213 | Step Reward: -0.0001220703125
Episode 1 | Step 214 | Step Reward: -0.0
Episode 1 | Step 215 | Step Reward: -0.0
Episode 1 | Step 216 | Step Reward: -0.0
Episode 1 | Step 217 | Step Reward: 0.0001220703125
Episode 1 | Step 218 | Step Reward: -0.0
Episode 1 | Step 219 | Step Reward: -0.0
Episode 1 | Step 220 | Step Reward: -0.0
Episode 1 | Step 221 | Step Reward: -0.0
Episode 1 | Step 222 | Step Reward: -0.0
Episode 1 | Step 223 | Step Reward: -0.0
Episode 1 | Step 224 | Step Reward: -0.0
Episode 1 | Step 225 | Step Reward: -0.0
Episode 1 | Step 226 | Step Reward: -0.0
Episode 1 | Step 227 | Step Reward: -0.0
Episode 1 | Step 228 | Step Reward: -0.0
Episode 1 | Step 229 | Step Reward: -0.0
Episode 1 | Step 230 | Step Reward: -0.0
Episode 1 | Step 231 | Step Reward: -0.0
Episode 1 | Step 232 | Step Reward: -0.0
Episode 1 | Step 233 | Step Reward: -0.0
Episode 1 | Step 234 | Step Reward: -0.0
Episode 1 | Step 235 | Step Reward: -0.0
Episode 1 | Step 236 | Step Reward: -0.0
Episode 1 | Step 237 | Step Reward: -0.0
Episode 1 | Step 238 | Step Reward: -0.0
Episode 1 | Step 239 | Step Reward: -0.0
Episode 1 | Step 240 | Step Reward: -0.0
Episode 1 | Step 241 | Step Reward: -0.0
Episode 1 | Step 242 | Step Reward: -0.0
Episode 1 | Step 243 | Step Reward: -0.0
Episode 1 | Step 244 | Step Reward: -0.0
Episode 1 | Step 245 | Step Reward: -0.0
Episode 1 | Step 246 | Step Reward: -0.0
Episode 1 | Step 247 | Step Reward: -0.0
Episode 1 | Step 248 | Step Reward: -0.0
Episode 1 | Step 249 | Step Reward: -0.0
Episode 1 | Step 250 | Step Reward: -0.0
Episode 1 | Step 251 | Step Reward: -0.0
Episode 1 | Step 252 | Step Reward: -0.0
Episode 1 | Step 253 | Step Reward: -0.0
Episode 1 | Step 254 | Step Reward: -0.0
Episode 1 | Step 255 | Step Reward: -0.0
Episode 1 | Step 256 | Step Reward: -0.0
Episode 1 | Step 257 | Step Reward: -0.0
Episode 1 | Step 258 | Step Reward: -0.0
Episode 1 | Step 259 | Step Reward: -0.0
Episode 1 | Step 260 | Step Reward: -0.0
Episode 1 | Step 261 | Step Reward: -0.0
Episode 1 | Step 262 | Step Reward: -0.0
Episode 1 | Step 263 | Step Reward: -0.0
Episode 1 | Step 264 | Step Reward: -0.0
Episode 1 | Step 265 | Step Reward: -0.0
Episode 1 | Step 266 | Step Reward: -0.0
Episode 1 | Step 267 | Step Reward: -0.0
Episode 1 | Step 268 | Step Reward: -0.0
Episode 1 | Step 269 | Step Reward: -0.0
Episode 1 | Step 270 | Step Reward: -0.0
Episode 1 | Step 271 | Step Reward: -0.0
Episode 1 | Step 272 | Step Reward: -0.0
Episode 1 | Step 273 | Step Reward: -0.0
Episode 1 | Step 274 | Step Reward: -0.0
Episode 1 | Step 275 | Step Reward: -0.0
Episode 1 | Step 276 | Step Reward: -0.0
Episode 1 | Step 277 | Step Reward: -0.0
Episode 1 | Step 278 | Step Reward: -0.0
Episode 1 | Step 279 | Step Reward: -0.0
Episode 1 | Step 280 | Step Reward: -0.0
Episode 1 | Step 281 | Step Reward: -0.0
Episode 1 | Step 282 | Step Reward: -0.0
Episode 1 | Step 283 | Step Reward: -0.0
Episode 1 | Step 284 | Step Reward: -0.0
Episode 1 | Step 285 | Step Reward: -0.0
Episode 1 | Step 286 | Step Reward: -0.0
Episode 1 | Step 287 | Step Reward: -0.0
Episode 1 | Step 288 | Step Reward: -0.0
Episode 1 | Step 289 | Step Reward: -0.0
Episode 1 | Step 290 | Step Reward: -0.0
Episode 1 | Step 291 | Step Reward: -0.0
Episode 1 | Step 292 | Step Reward: -0.0
Episode 1 | Step 293 | Step Reward: -0.0
Episode 1 | Step 294 | Step Reward: -0.0
Episode 1 | Step 295 | Step Reward: -0.0001220703125
Episode 1 | Step 296 | Step Reward: -0.0
Episode 1 | Step 297 | Step Reward: -0.0
Episode 1 | Step 298 | Step Reward: -0.0
Episode 1 | Step 299 | Step Reward: -0.0
Episode 1 | Step 300 | Step Reward: -0.0
Episode 1 | Step 301 | Step Reward: -0.0
Episode 1 | Step 302 | Step Reward: 0.0001220703125
Episode 1 | Step 303 | Step Reward: -0.0
Episode 1 | Step 304 | Step Reward: -0.0
Episode 1 | Step 305 | Step Reward: -0.0
Episode 1 | Step 306 | Step Reward: -0.0
Episode 1 | Step 307 | Step Reward: -0.0
Episode 1 | Step 308 | Step Reward: -0.0001220703125
Episode 1 | Step 309 | Step Reward: -0.0
Episode 1 | Step 310 | Step Reward: -0.0
Episode 1 | Step 311 | Step Reward: -0.0
Episode 1 | Step 312 | Step Reward: -0.0
Episode 1 | Step 313 | Step Reward: -0.0
Episode 1 | Step 314 | Step Reward: -0.0
Episode 1 | Step 315 | Step Reward: -0.0
Episode 1 | Step 316 | Step Reward: 0.0001220703125
Episode 1 | Step 317 | Step Reward: -0.0
Episode 1 | Step 318 | Step Reward: -0.0001220703125
Episode 1 | Step 319 | Step Reward: -0.0
Episode 1 | Step 320 | Step Reward: -0.0
Episode 1 | Step 321 | Step Reward: -0.0
Episode 1 | Step 322 | Step Reward: 0.0001220703125
Episode 1 | Step 323 | Step Reward: -0.0
Episode 1 | Step 324 | Step Reward: -0.0001220703125
Episode 1 | Step 325 | Step Reward: 0.0001220703125
Episode 1 | Step 326 | Step Reward: -0.0001220703125
Episode 1 | Step 327 | Step Reward: -0.0
Episode 1 | Step 328 | Step Reward: -0.0
Episode 1 | Step 329 | Step Reward: -0.0
